image_filename,score_sd1,score_sd2,score_sdxl,score_midjourney,score_dalle2,score_dalle3,score_firefly,score
/home/yli/dataset/masksim_512x512/coco_unlabeled_2017/000000131929_crop0.png,0.0007870135596022,0.0157929565757513,0.9211415648460388,0.3779874742031097,0.0634856447577476,0.0473768375813961,0.2907428443431854,0.9211415648460388
/home/yli/dataset/masksim_512x512/coco_unlabeled_2017/000000089162_crop0.png,0.0198204088956117,0.0009200097993016,0.0149822011590003,0.2985788583755493,0.0014173121890053,0.0468980781733989,0.0016441042535007,0.2985788583755493
/home/yli/dataset/masksim_512x512/coco_unlabeled_2017/000000187862_crop0.png,0.1506243497133255,0.0003414514067117,0.0070850043557584,0.2776533663272857,0.003031876636669,0.0465132035315036,0.3913063108921051,0.3913063108921051
/home/yli/dataset/masksim_512x512/coco_unlabeled_2017/000000090478_crop0.png,0.916063129901886,0.0585693717002868,0.0035286773927509,0.9962563514709472,0.000427814113209,0.0171455685049295,0.4802701473236084,0.9962563514709472
/home/yli/dataset/masksim_512x512/coco_unlabeled_2017/000000327434_crop0.png,0.0001899371563922,0.1527231931686401,0.0021374188363552,0.0194080919027328,0.1381120532751083,0.1717555671930313,0.0053848791867494,0.1717555671930313
/home/yli/dataset/masksim_512x512/coco_unlabeled_2017/000000563780_crop0.png,0.0080200163647532,0.007600990589708,0.0054852226749062,0.0180561076849699,0.00254359212704,0.0233939532190561,0.1858729720115661,0.1858729720115661
/home/yli/dataset/masksim_512x512/coco_unlabeled_2017/000000284700_crop0.png,0.0278914459049701,0.9960898160934448,0.2750842869281769,0.9585779905319214,0.9271287322044371,0.4253236055374145,0.0877337902784347,0.9960898160934448
/home/yli/dataset/masksim_512x512/coco_unlabeled_2017/000000406454_crop0.png,0.0178184527903795,0.7736619710922241,0.0020743140485137,0.1593998521566391,0.0011449912562966,0.0417379885911941,0.2197545021772384,0.7736619710922241
/home/yli/dataset/masksim_512x512/coco_unlabeled_2017/000000218932_crop0.png,0.600386917591095,0.0005681197508238,0.003523800522089,0.4232140183448791,0.0010495486203581,0.0447199866175651,0.7350709438323975,0.7350709438323975
/home/yli/dataset/masksim_512x512/coco_unlabeled_2017/000000196790_crop0.png,0.0007782520842738,0.0129589457064867,0.0331883989274501,0.0058616497553884,0.0229776687920093,0.0104506770148873,0.0546905137598514,0.0546905137598514
